ID,源实体ID,目标实体ID,关系类型,强度,描述,跨域,置信度
cross_domain_relation_24,hook_entity_1,hook_entity_2,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_25,hook_entity_1,hook_entity_3,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_26,hook_entity_1,hook_entity_5,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_27,hook_entity_1,hook_entity_7,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_28,hook_entity_2,hook_entity_2,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_29,hook_entity_2,hook_entity_3,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_30,hook_entity_2,hook_entity_5,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_31,hook_entity_2,hook_entity_7,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_32,hook_entity_3,hook_entity_2,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_33,hook_entity_3,hook_entity_3,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_34,hook_entity_3,hook_entity_5,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_35,hook_entity_3,hook_entity_7,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_36,hook_entity_4,hook_entity_2,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_37,hook_entity_4,hook_entity_3,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_38,hook_entity_4,hook_entity_5,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_39,hook_entity_4,hook_entity_7,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_40,hook_entity_0,hook_entity_4,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_41,hook_entity_0,hook_entity_6,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_42,hook_entity_0,hook_entity_7,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_43,hook_entity_1,hook_entity_4,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_44,hook_entity_1,hook_entity_6,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_45,hook_entity_1,hook_entity_7,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_46,hook_entity_2,hook_entity_4,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_47,hook_entity_2,hook_entity_6,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_48,hook_entity_2,hook_entity_7,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_49,hook_entity_3,hook_entity_4,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_50,hook_entity_3,hook_entity_6,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_51,hook_entity_3,hook_entity_7,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_52,hook_entity_4,hook_entity_4,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_53,hook_entity_4,hook_entity_6,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_54,hook_entity_4,hook_entity_7,对立,0.75,人域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_55,hook_entity_0,hook_entity_0,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_56,hook_entity_0,hook_entity_1,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_57,hook_entity_0,hook_entity_2,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_58,hook_entity_0,hook_entity_3,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_59,hook_entity_0,hook_entity_4,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_60,hook_entity_1,hook_entity_0,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_61,hook_entity_1,hook_entity_1,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_62,hook_entity_1,hook_entity_2,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_63,hook_entity_1,hook_entity_3,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_64,hook_entity_1,hook_entity_4,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_65,hook_entity_5,hook_entity_0,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_66,hook_entity_5,hook_entity_1,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_67,hook_entity_5,hook_entity_2,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_68,hook_entity_5,hook_entity_3,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_69,hook_entity_5,hook_entity_4,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_70,hook_entity_6,hook_entity_0,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_71,hook_entity_6,hook_entity_1,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_72,hook_entity_6,hook_entity_2,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_73,hook_entity_6,hook_entity_3,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_74,hook_entity_6,hook_entity_4,对立,1.0,天域与人域间的推断实体冲突,True,0.8
cross_domain_relation_75,hook_entity_0,hook_entity_2,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_76,hook_entity_0,hook_entity_3,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_77,hook_entity_0,hook_entity_5,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_78,hook_entity_0,hook_entity_7,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_79,hook_entity_1,hook_entity_2,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_80,hook_entity_1,hook_entity_3,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_81,hook_entity_1,hook_entity_5,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_82,hook_entity_1,hook_entity_7,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_83,hook_entity_5,hook_entity_2,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_84,hook_entity_5,hook_entity_3,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_85,hook_entity_5,hook_entity_5,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_86,hook_entity_5,hook_entity_7,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_87,hook_entity_6,hook_entity_2,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_88,hook_entity_6,hook_entity_3,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_89,hook_entity_6,hook_entity_5,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_90,hook_entity_6,hook_entity_7,对立,0.75,天域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_91,hook_entity_0,hook_entity_4,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_92,hook_entity_0,hook_entity_6,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_93,hook_entity_0,hook_entity_7,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_94,hook_entity_1,hook_entity_4,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_95,hook_entity_1,hook_entity_6,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_96,hook_entity_1,hook_entity_7,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_97,hook_entity_5,hook_entity_4,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_98,hook_entity_5,hook_entity_6,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_99,hook_entity_5,hook_entity_7,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_100,hook_entity_6,hook_entity_4,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_101,hook_entity_6,hook_entity_6,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_102,hook_entity_6,hook_entity_7,对立,1.0,天域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_103,hook_entity_2,hook_entity_0,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_104,hook_entity_2,hook_entity_1,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_105,hook_entity_2,hook_entity_2,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_106,hook_entity_2,hook_entity_3,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_107,hook_entity_2,hook_entity_4,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_108,hook_entity_3,hook_entity_0,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_109,hook_entity_3,hook_entity_1,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_110,hook_entity_3,hook_entity_2,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_111,hook_entity_3,hook_entity_3,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_112,hook_entity_3,hook_entity_4,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_113,hook_entity_5,hook_entity_0,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_114,hook_entity_5,hook_entity_1,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_115,hook_entity_5,hook_entity_2,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_116,hook_entity_5,hook_entity_3,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_117,hook_entity_5,hook_entity_4,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_118,hook_entity_7,hook_entity_0,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_119,hook_entity_7,hook_entity_1,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_120,hook_entity_7,hook_entity_2,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_121,hook_entity_7,hook_entity_3,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_122,hook_entity_7,hook_entity_4,对立,0.5,灵域与人域间的推断实体冲突,True,0.8
cross_domain_relation_123,hook_entity_2,hook_entity_0,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_124,hook_entity_2,hook_entity_1,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_125,hook_entity_2,hook_entity_5,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_126,hook_entity_2,hook_entity_6,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_127,hook_entity_3,hook_entity_0,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_128,hook_entity_3,hook_entity_1,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_129,hook_entity_3,hook_entity_5,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_130,hook_entity_3,hook_entity_6,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_131,hook_entity_5,hook_entity_0,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_132,hook_entity_5,hook_entity_1,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_133,hook_entity_5,hook_entity_5,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_134,hook_entity_5,hook_entity_6,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_135,hook_entity_7,hook_entity_0,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_136,hook_entity_7,hook_entity_1,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_137,hook_entity_7,hook_entity_5,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_138,hook_entity_7,hook_entity_6,对立,0.75,灵域与天域间的推断实体冲突,True,0.8
cross_domain_relation_139,hook_entity_2,hook_entity_4,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_140,hook_entity_2,hook_entity_6,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_141,hook_entity_2,hook_entity_7,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_142,hook_entity_3,hook_entity_4,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_143,hook_entity_3,hook_entity_6,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_144,hook_entity_3,hook_entity_7,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_145,hook_entity_5,hook_entity_4,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_146,hook_entity_5,hook_entity_6,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_147,hook_entity_5,hook_entity_7,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_148,hook_entity_7,hook_entity_4,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_149,hook_entity_7,hook_entity_6,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_150,hook_entity_7,hook_entity_7,对立,0.75,灵域与荒域间的推断实体冲突,True,0.8
cross_domain_relation_151,hook_entity_4,hook_entity_0,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_152,hook_entity_4,hook_entity_1,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_153,hook_entity_4,hook_entity_2,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_154,hook_entity_4,hook_entity_3,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_155,hook_entity_4,hook_entity_4,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_156,hook_entity_6,hook_entity_0,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_157,hook_entity_6,hook_entity_1,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_158,hook_entity_6,hook_entity_2,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_159,hook_entity_6,hook_entity_3,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_160,hook_entity_6,hook_entity_4,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_161,hook_entity_7,hook_entity_0,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_162,hook_entity_7,hook_entity_1,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_163,hook_entity_7,hook_entity_2,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_164,hook_entity_7,hook_entity_3,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_165,hook_entity_7,hook_entity_4,对立,0.75,荒域与人域间的推断实体冲突,True,0.8
cross_domain_relation_166,hook_entity_4,hook_entity_0,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_167,hook_entity_4,hook_entity_1,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_168,hook_entity_4,hook_entity_5,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_169,hook_entity_4,hook_entity_6,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_170,hook_entity_6,hook_entity_0,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_171,hook_entity_6,hook_entity_1,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_172,hook_entity_6,hook_entity_5,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_173,hook_entity_6,hook_entity_6,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_174,hook_entity_7,hook_entity_0,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_175,hook_entity_7,hook_entity_1,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_176,hook_entity_7,hook_entity_5,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_177,hook_entity_7,hook_entity_6,对立,1.0,荒域与天域间的推断实体冲突,True,0.8
cross_domain_relation_178,hook_entity_4,hook_entity_2,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_179,hook_entity_4,hook_entity_3,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_180,hook_entity_4,hook_entity_5,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_181,hook_entity_4,hook_entity_7,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_182,hook_entity_6,hook_entity_2,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_183,hook_entity_6,hook_entity_3,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_184,hook_entity_6,hook_entity_5,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_185,hook_entity_6,hook_entity_7,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_186,hook_entity_7,hook_entity_2,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_187,hook_entity_7,hook_entity_3,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_188,hook_entity_7,hook_entity_5,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_189,hook_entity_7,hook_entity_7,对立,0.75,荒域与灵域间的推断实体冲突,True,0.8
resource_role_relation_190,detailed_12,detailed_0,依赖,0.6,巡链官依赖粮税征收进行工作,False,0.7
resource_role_relation_191,detailed_13,detailed_0,依赖,0.6,缚司依赖粮税征收进行工作,False,0.7
resource_role_relation_192,detailed_14,detailed_0,依赖,0.6,乡祭/里正依赖粮税征收进行工作,False,0.7
resource_role_relation_193,detailed_15,detailed_0,依赖,0.6,被降等的黑籍户依赖粮税征收进行工作,False,0.7
resource_role_relation_194,detailed_16,detailed_0,依赖,0.6,税收官依赖粮税征收进行工作,False,0.7
resource_role_relation_195,detailed_17,detailed_0,依赖,0.6,链籍官依赖粮税征收进行工作,False,0.7
resource_role_relation_196,detailed_18,detailed_0,依赖,0.6,地方领主依赖粮税征收进行工作,False,0.7
resource_role_relation_197,detailed_19,detailed_0,依赖,0.6,民兵组织依赖粮税征收进行工作,False,0.7
resource_role_relation_198,detailed_32,detailed_0,依赖,0.6,评印院执事依赖粮税征收进行工作,False,0.7
resource_role_relation_199,detailed_33,detailed_0,依赖,0.6,链算所监理依赖粮税征收进行工作,False,0.7
resource_role_relation_200,detailed_34,detailed_0,依赖,0.6,宗匠依赖粮税征收进行工作,False,0.7
resource_role_relation_201,detailed_35,detailed_0,依赖,0.6,公会头人依赖粮税征收进行工作,False,0.7
resource_role_relation_202,detailed_36,detailed_0,依赖,0.6,器械师依赖粮税征收进行工作,False,0.7
resource_role_relation_203,detailed_37,detailed_0,依赖,0.6,评印官依赖粮税征收进行工作,False,0.7
resource_role_relation_204,detailed_38,detailed_0,依赖,0.6,学徒候选人依赖粮税征收进行工作,False,0.7
resource_role_relation_205,detailed_39,detailed_0,依赖,0.6,贸易商依赖粮税征收进行工作,False,0.7
resource_role_relation_206,detailed_52,detailed_0,依赖,0.6,军镇都尉依赖粮税征收进行工作,False,0.7
resource_role_relation_207,detailed_53,detailed_0,依赖,0.6,断链祭司依赖粮税征收进行工作,False,0.7
resource_role_relation_208,detailed_54,detailed_0,依赖,0.6,部落首领依赖粮税征收进行工作,False,0.7
resource_role_relation_209,detailed_55,detailed_0,依赖,0.6,天域密探依赖粮税征收进行工作,False,0.7
resource_role_relation_210,detailed_56,detailed_0,依赖,0.6,边防军官依赖粮税征收进行工作,False,0.7
resource_role_relation_211,detailed_57,detailed_0,依赖,0.6,走私头目依赖粮税征收进行工作,False,0.7
resource_role_relation_212,detailed_58,detailed_0,依赖,0.6,边境商人依赖粮税征收进行工作,False,0.7
resource_role_relation_213,detailed_59,detailed_0,依赖,0.6,流民组织依赖粮税征收进行工作,False,0.7
resource_role_relation_214,detailed_12,detailed_1,依赖,0.6,巡链官依赖人役征召进行工作,False,0.7
resource_role_relation_215,detailed_13,detailed_1,依赖,0.6,缚司依赖人役征召进行工作,False,0.7
resource_role_relation_216,detailed_14,detailed_1,依赖,0.6,乡祭/里正依赖人役征召进行工作,False,0.7
resource_role_relation_217,detailed_15,detailed_1,依赖,0.6,被降等的黑籍户依赖人役征召进行工作,False,0.7
resource_role_relation_218,detailed_16,detailed_1,依赖,0.6,税收官依赖人役征召进行工作,False,0.7
resource_role_relation_219,detailed_17,detailed_1,依赖,0.6,链籍官依赖人役征召进行工作,False,0.7
resource_role_relation_220,detailed_18,detailed_1,依赖,0.6,地方领主依赖人役征召进行工作,False,0.7
resource_role_relation_221,detailed_19,detailed_1,依赖,0.6,民兵组织依赖人役征召进行工作,False,0.7
resource_role_relation_222,detailed_32,detailed_1,依赖,0.6,评印院执事依赖人役征召进行工作,False,0.7
resource_role_relation_223,detailed_33,detailed_1,依赖,0.6,链算所监理依赖人役征召进行工作,False,0.7
resource_role_relation_224,detailed_34,detailed_1,依赖,0.6,宗匠依赖人役征召进行工作,False,0.7
resource_role_relation_225,detailed_35,detailed_1,依赖,0.6,公会头人依赖人役征召进行工作,False,0.7
resource_role_relation_226,detailed_36,detailed_1,依赖,0.6,器械师依赖人役征召进行工作,False,0.7
resource_role_relation_227,detailed_37,detailed_1,依赖,0.6,评印官依赖人役征召进行工作,False,0.7
resource_role_relation_228,detailed_38,detailed_1,依赖,0.6,学徒候选人依赖人役征召进行工作,False,0.7
resource_role_relation_229,detailed_39,detailed_1,依赖,0.6,贸易商依赖人役征召进行工作,False,0.7
resource_role_relation_230,detailed_52,detailed_1,依赖,0.6,军镇都尉依赖人役征召进行工作,False,0.7
resource_role_relation_231,detailed_53,detailed_1,依赖,0.6,断链祭司依赖人役征召进行工作,False,0.7
resource_role_relation_232,detailed_54,detailed_1,依赖,0.6,部落首领依赖人役征召进行工作,False,0.7
resource_role_relation_233,detailed_55,detailed_1,依赖,0.6,天域密探依赖人役征召进行工作,False,0.7
resource_role_relation_234,detailed_56,detailed_1,依赖,0.6,边防军官依赖人役征召进行工作,False,0.7
resource_role_relation_235,detailed_57,detailed_1,依赖,0.6,走私头目依赖人役征召进行工作,False,0.7
resource_role_relation_236,detailed_58,detailed_1,依赖,0.6,边境商人依赖人役征召进行工作,False,0.7
resource_role_relation_237,detailed_59,detailed_1,依赖,0.6,流民组织依赖人役征召进行工作,False,0.7
resource_role_relation_238,detailed_12,detailed_2,依赖,0.6,巡链官依赖链籍指标进行工作,False,0.7
resource_role_relation_239,detailed_13,detailed_2,依赖,0.6,缚司依赖链籍指标进行工作,False,0.7
resource_role_relation_240,detailed_14,detailed_2,依赖,0.6,乡祭/里正依赖链籍指标进行工作,False,0.7
resource_role_relation_241,detailed_15,detailed_2,依赖,0.6,被降等的黑籍户依赖链籍指标进行工作,False,0.7
resource_role_relation_242,detailed_16,detailed_2,依赖,0.6,税收官依赖链籍指标进行工作,False,0.7
resource_role_relation_243,detailed_17,detailed_2,依赖,0.6,链籍官依赖链籍指标进行工作,False,0.7
resource_role_relation_244,detailed_18,detailed_2,依赖,0.6,地方领主依赖链籍指标进行工作,False,0.7
resource_role_relation_245,detailed_19,detailed_2,依赖,0.6,民兵组织依赖链籍指标进行工作,False,0.7
resource_role_relation_246,detailed_32,detailed_2,依赖,0.6,评印院执事依赖链籍指标进行工作,False,0.7
resource_role_relation_247,detailed_33,detailed_2,依赖,0.6,链算所监理依赖链籍指标进行工作,False,0.7
resource_role_relation_248,detailed_34,detailed_2,依赖,0.6,宗匠依赖链籍指标进行工作,False,0.7
resource_role_relation_249,detailed_35,detailed_2,依赖,0.6,公会头人依赖链籍指标进行工作,False,0.7
resource_role_relation_250,detailed_36,detailed_2,依赖,0.6,器械师依赖链籍指标进行工作,False,0.7
resource_role_relation_251,detailed_37,detailed_2,依赖,0.6,评印官依赖链籍指标进行工作,False,0.7
